clip_id,source,threshold,tile_size,activation_rule,halo_tiles,total_tiles,active_tiles,partial_edge_tiles,additional_closure_tiles,pairs_at_or_above_75_percent,pairs_at_or_above_90_percent,full_pressure_pairs,active_tile_ratio,frozen_candidate_ratio,halo_inflation_ratio
c01,raw,0,8,any,0,1272960,998687,0,0,127,98,28,0.7845391842634489,0.21546081573655107,1.0
c01,raw,0,8,any,1,1272960,1134742,0,136055,166,143,80,0.891419997486174,0.10858000251382605,1.1362338750779775
c01,raw,0,8,any,2,1272960,1184376,0,185689,178,165,108,0.9304110105580694,0.0695889894419306,1.1859331301999525
c01,raw,0,8,1_percent,0,1272960,998687,0,0,127,98,28,0.7845391842634489,0.21546081573655107,1.0
c01,raw,0,8,1_percent,1,1272960,1134742,0,136055,166,143,80,0.891419997486174,0.10858000251382605,1.1362338750779775
c01,raw,0,8,1_percent,2,1272960,1184376,0,185689,178,165,108,0.9304110105580694,0.0695889894419306,1.1859331301999525
c01,raw,0,8,5_percent,0,1272960,947266,0,0,113,82,5,0.7441443564605329,0.2558556435394671,1.0
c01,raw,0,8,5_percent,1,1272960,1119581,0,172315,162,137,73,0.8795099610356963,0.12049003896430366,1.1819077218014793
c01,raw,0,8,5_percent,2,1272960,1176633,0,229367,175,163,106,0.9243283371040724,0.07567166289592764,1.242135788680265
c01,raw,0,8,10_percent,0,1272960,900517,0,0,98,72,0,0.707419714680744,0.29258028531925595,1.0
c01,raw,0,8,10_percent,1,1272960,1100766,0,200249,157,129,66,0.8647294494720965,0.1352705505279035,1.222371149017731
c01,raw,0,8,10_percent,2,1272960,1166914,0,266397,173,159,93,0.9166933760683761,0.08330662393162391,1.2958267306447295
c01,raw,0,16,any,0,318240,272009,0,0,155,128,70,0.8547291352438411,0.1452708647561589,1.0
c01,raw,0,16,any,1,318240,299828,0,27819,180,167,122,0.9421442936148818,0.057855706385118166,1.1022723512824943
c01,raw,0,16,any,2,318240,308983,0,36974,197,179,152,0.9709118903971845,0.029088109602815493,1.135929325867894
c01,raw,0,16,1_percent,0,318240,268649,0,0,151,126,67,0.8441710658622423,0.15582893413775767,1.0
c01,raw,0,16,1_percent,1,318240,298998,0,30349,179,167,119,0.9395361990950226,0.06046380090497738,1.1129689669419949
